Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
Willy Adames,TBR,152,584,20,69,52,4,0.078767123,0.261986301,0.163841808,0.320334261,0.254237288,0.316695352,0.418079096,0.312676362,0.319918416,98.61047133,1.401494377,0.364337774,12.41271734,3.291996372,Willy Adames,15986,642715
Whit Merrifield,KCR,162,735,16,105,74,20,0.061224489,0.171428571,0.160058738,0.349907918,0.302496328,0.348299319,0.462555066,0.340122238,0.325353827,109.9396361,2.312518232,11.64982875,-4.523235798,3.27348709,Whit Merrifield,11281,593160
Kolten Wong,STL,148,549,11,61,59,24,0.0856102,0.15118397,0.138075314,0.32133676,0.284518828,0.360957642,0.422594142,0.33400007,0.294595132,108.876302,5.289226747,11.71862133,4.293942928,3.258497237,Kolten Wong,12532,543939
Hunter Dozier,KCR,139,586,26,75,84,2,0.093856655,0.252559726,0.242829828,0.33898305,0.279158699,0.348122866,0.521988527,0.359902054,0.338368638,123.3172545,2.151173675,19.6149841,-8.217345119,3.165040742,Hunter Dozier,15117,641531
Josh Bell,PIT,143,613,37,94,116,0,0.120717781,0.192495921,0.292220114,0.287598944,0.277039848,0.367047308,0.569259962,0.378455672,0.383657223,134.8727837,-3.782792487,24.42134054,-12.73117566,3.037227771,Josh Bell,13145,605137
Paul Goldschmidt,STL,161,682,34,97,97,3,0.114369501,0.243401759,0.216080402,0.3025,0.25963149,0.345588235,0.475711892,0.345727658,0.360822689,116.5598814,-0.313530761,14.58718945,-5.271996975,3.020619623,Paul Goldschmidt,9218,502671
Christian Walker,ARI,152,603,29,86,73,8,0.111111111,0.257048092,0.217391304,0.312138728,0.258979206,0.348258706,0.47637051,0.345511357,0.364732038,111.053339,0.608933259,9.402730833,2.387442589,3.015917092,Christian Walker,13419,572233
David Fletcher,LAA,154,653,6,83,49,8,0.084226646,0.098009188,0.093959731,0.316888045,0.290268456,0.349693251,0.384228187,0.317687046,0.317617249,96.25508007,-1.094617641,-4.220119031,10.88954186,2.94110173,David Fletcher,17992,664058
Joc Pederson,LAD,149,514,36,83,74,1,0.097276264,0.215953307,0.288888889,0.249180327,0.248888888,0.3385214,0.537777777,0.361736942,0.343853561,125.7741012,0.116310586,17.59513874,-4.935590982,2.824241343,Joc Pederson,11899,592626
Brian Anderson,MIA,126,520,20,57,66,5,0.084615384,0.219230769,0.206971678,0.304878048,0.261437908,0.342307692,0.468409586,0.342226247,0.339473423,114.3982532,0.576169665,10.45439236,1.510510921,2.775386665,Brian Anderson,18289,605119
Mike Moustakas,MIL,143,584,35,80,87,3,0.090753424,0.167808219,0.261950287,0.25,0.254302103,0.328767123,0.51625239,0.348231129,0.349876658,112.9436,-2.586644388,7.386534135,2.094773129,2.73271601,Mike Moustakas,4892,519058
Eduardo Escobar,ARI,158,699,35,94,118,5,0.071530758,0.185979971,0.242138365,0.282744282,0.268867924,0.320457796,0.511006289,0.341107146,0.325619994,108.1678261,0.450375664,7.983052294,-2.177217007,2.732504979,Eduardo Escobar,6153,500871
Adam Frazier,PIT,152,608,10,80,50,5,0.065789473,0.123355263,0.13898917,0.306382978,0.277978339,0.336092715,0.416967509,0.320018482,0.318038116,96.58641286,0.724231978,-2.014063044,9.276582003,2.591668399,Adam Frazier,15223,624428
Manny Machado,SDP,156,661,32,81,85,5,0.098335854,0.19364599,0.206132879,0.274418604,0.255536626,0.334341906,0.461669505,0.334953464,0.343096632,109.1575165,0.580744329,8.567029866,-3.763150215,2.517295022,Manny Machado,11493,592518
Danny Santana,TEX,130,511,28,81,81,21,0.048923679,0.295499021,0.251054853,0.353333333,0.282700421,0.323529411,0.533755274,0.35160671,0.345234398,110.849324,4.673555696,11.75933393,-4.472771645,2.502343486,Danny Santana,10322,542454
Starlin Castro,MIA,162,676,22,68,86,2,0.041420118,0.164201183,0.16509434,0.29296875,0.270440251,0.300295857,0.435534591,0.306546865,0.314318929,91.02214512,1.232404992,-6.774873634,10.45093751,2.454289251,Starlin Castro,4579,516770
Yasiel Puig,- - -,149,611,24,76,84,19,0.072013093,0.217675941,0.190990991,0.308457711,0.266666666,0.327332242,0.457657657,0.330405054,0.329082911,100.2058911,0.271234036,0.30339007,4.127724648,2.410742742,Yasiel Puig,14225,624577
Jason Heyward,CHC,147,589,21,78,62,8,0.115449915,0.186757215,0.177387914,0.28051948,0.251461988,0.342954159,0.428849902,0.327587753,0.323387782,99.55656544,2.684080504,2.339484296,3.645347834,2.408623432,Jason Heyward,4940,518792
Nick Castellanos,- - -,151,664,27,100,73,2,0.061746987,0.215361445,0.235772358,0.337053571,0.289430894,0.337349397,0.525203252,0.357456347,0.363191017,121.5570724,-1.716803678,17.06504757,-16.81100345,2.264475489,Nick Castellanos,11737,592206
Rhys Hoskins,PHI,160,705,29,86,85,2,0.164539007,0.24539007,0.228070175,0.267379679,0.226315789,0.364153627,0.454385964,0.346916734,0.337232177,112.0607052,-1.0189882,10.19932295,-9.627693653,2.242732962,Rhys Hoskins,16472,656555
Freddy Galvis,- - -,147,589,23,67,70,4,0.0475382,0.246179966,0.177737882,0.31202046,0.260323159,0.295918367,0.438061041,0.307386008,0.2808302,89.25992086,-0.482037446,-8.695207403,10.69944787,2.21571037,Freddy Galvis,6609,520471
Kevin Newman,PIT,130,531,12,61,64,16,0.052730696,0.116760828,0.137931034,0.333333333,0.30831643,0.353497164,0.446247464,0.339467186,0.303082481,109.3286461,0.377463493,6.912963234,-1.532832146,2.16994935,Kevin Newman,17696,621028
Charlie Blackmon,COL,140,634,32,112,86,2,0.063091482,0.164037854,0.262068965,0.334075723,0.313793103,0.364353312,0.575862068,0.387192611,0.366837994,126.6728296,-2.585848208,19.72540741,-18.0367198,2.130957904,Charlie Blackmon,7859,453568
Kyle Schwarber,CHC,155,610,38,82,92,2,0.114754098,0.255737704,0.281663516,0.275659824,0.24952741,0.339344262,0.531190926,0.356948021,0.375969925,118.792571,-2.189005699,12.93551769,-10.51287794,2.127786738,Kyle Schwarber,16478,656941
Kole Calhoun,LAA,152,632,33,92,74,4,0.110759493,0.256329113,0.235507247,0.264623955,0.231884057,0.324881141,0.467391304,0.329911067,0.339636518,104.5225128,0.632673881,4.285768008,-5.319606781,2.119150009,Kole Calhoun,11200,594777
Marcell Ozuna,STL,130,549,29,80,89,12,0.112932604,0.207650273,0.230927835,0.256559766,0.241237113,0.327868852,0.472164948,0.335558666,0.375899474,109.8974491,3.280501169,10.44954579,-6.449691534,2.091729893,Marcell Ozuna,10324,542303
Hanser Alberto,BAL,139,550,12,62,51,4,0.029090909,0.09090909,0.116412214,0.318279569,0.305343511,0.329067641,0.421755725,0.318341762,0.299733746,95.39464307,-0.139929816,-3.377282113,4.923764229,2.081789278,Hanser Alberto,11902,593643
Ryan Braun,MIL,144,508,22,70,75,11,0.066929133,0.206692913,0.220043573,0.325373134,0.28540305,0.343253968,0.505446623,0.354011955,0.339358187,116.7310319,2.07461526,13.2883971,-8.436550856,2.047282389,Ryan Braun,3410,460075
Adam Eaton,WSN,151,656,15,103,49,15,0.099085365,0.161585365,0.148409894,0.319196428,0.279151943,0.364760432,0.427561837,0.341511764,0.328379281,108.1711999,3.741158214,10.8133713,-10.76187515,2.040194623,Adam Eaton,11205,594809
Evan Longoria,SFG,129,508,20,59,69,3,0.084645669,0.22047244,0.183222958,0.291411042,0.253863134,0.324803149,0.437086092,0.322175919,0.350962321,100.2586937,-1.734991078,-1.561604592,6.230393291,2.029502424,Evan Longoria,9368,446334
Jackie Bradley Jr.,BOS,147,567,21,69,62,8,0.098765432,0.273368606,0.196356275,0.28125,0.224696356,0.317375886,0.421052631,0.313559591,0.317757972,89.46988739,-1.497371841,-9.128347237,9.081766367,1.986762148,Jackie Bradley Jr.,12984,598265
