Rk,Player,Age,Team,Lg,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Pos,Awards,Player-additional
1,Mookie Betts,30,LAD,NL,693,56,1,0,10,0,67,6.5,22,89,8.6,.543,.540,7.6,0.9,79,946/H,ASMVP-2SS,bettsmo01
2,Ronald Acuña Jr.,25,ATL,NL,735,65,7,-1,-2,-5,64,6.2,23,87,8.4,.539,.539,8.6,-0.7,89,*9/D,ASMVP-1SS,acunaro01
3,Marcus Semien,32,TEX,AL,753,27,4,1,16,6,54,5.5,23,77,7.7,.534,.534,6.0,2.3,61,*4,ASMVP-3SS,semiema01
4,Matt Olson*,29,ATL,NL,720,53,1,-1,8,-8,54,5.3,23,78,7.5,.533,.533,6.8,0.0,70,*3,ASMVP-4SS,olsonma02
5,Corey Seager*,29,TEX,AL,536,45,-2,1,5,6,55,5.5,17,73,7.2,.546,.534,6.6,1.2,68,*6/D,ASMVP-2SS,seageco01
6,Freddie Freeman*,33,LAD,NL,730,58,4,1,-8,-7,47,4.6,23,71,6.8,.529,.529,7.6,-1.6,79,*3,ASMVP-3,freemfr01
7,Shohei Ohtani*,28,LAA,AL,599,55,1,2,0,-11,46,4.6,19,65,6.1,.534,.528,6.1,-1.1,65,*D1,ASMVP-1SS,ohtansh01
8,Francisco Lindor#,29,NYM,NL,687,16,5,2,7,9,40,3.9,23,63,6.1,.525,.524,5.4,1.6,56,*6/DH,MVP-9SS,lindofr01
9,Gunnar Henderson*,22,BAL,AL,622,18,3,0,12,6,40,4.0,21,61,6.1,.527,.525,4.8,1.9,49,56D/H,MVP-8ROY-1SS,hendegu01
10,Austin Riley,26,ATL,NL,715,24,2,-1,9,5,39,3.9,23,62,6.0,.525,.524,5.2,1.3,53,*5,ASMVP-7SS,rileyau01
11,Kyle Tucker*,26,HOU,AL,674,31,4,1,2,-5,33,3.3,23,55,5.5,.521,.520,5.3,-0.3,53,*9/DH,ASMVP-5SS,tuckeky01
12,Julio Rodríguez,22,SEA,AL,714,27,4,3,-5,5,33,3.4,22,56,5.5,.521,.520,6.0,0.0,60,*8/D,ASMVP-4SS,rodriju01
13,Nico Hoerner,26,CHC,NL,688,8,5,2,13,6,34,3.4,22,56,5.5,.523,.521,4.2,1.9,43,*46/DH,GG,hoernni01
14,Ha-Seong Kim,27,SDP,NL,626,11,4,-1,15,6,34,3.4,21,56,5.4,.523,.521,4.0,2.0,41,456/HD,MVP-14GG,kimha01
15,Wander Franco#,22,TBR,AL,491,19,-2,-1,15,7,37,3.8,16,53,5.4,.534,.523,3.8,2.2,38,*6/HD,AS,francwa01
16,Juan Soto*,24,SDP,NL,708,46,-3,0,-5,-5,32,3.1,23,55,5.3,.519,.519,5.8,-1.1,60,*7/DH,ASMVP-6SS,sotoju01
17,Luis Robert Jr.,25,CHW,AL,595,19,1,1,7,4,32,3.3,20,53,5.3,.523,.520,4.5,1.2,46,*8/H,ASMVP-12SS,roberlu01
18,Corbin Carroll*,22,ARI,NL,645,25,12,3,-4,-4,32,3.2,22,54,5.3,.521,.520,5.7,-0.8,58,*798/HD,ASMVP-5ROY-1,carroco02
19,Fernando Tatis Jr.,24,SDP,NL,635,10,1,-2,27,-4,33,3.3,20,53,5.2,.524,.521,2.5,2.3,26,*9/8D4H,MVP-14GG,tatisfe02
20,J.P. Crawford*,28,SEA,AL,638,28,-1,0,-4,9,32,3.2,21,52,5.2,.522,.519,5.6,0.5,56,*6/H,MVP-16,crawfjp01
21,Dansby Swanson,29,CHC,NL,638,2,2,1,17,9,31,3.2,21,53,5.2,.522,.520,3.5,2.6,36,*6,ASMVP-19GG,swansda01
22,Yandy Díaz,31,TBR,AL,600,41,-1,-2,0,-7,31,3.2,20,51,5.1,.523,.519,5.1,-0.7,51,*3D/5H,ASMVP-6SS,diazya01
23,Andrés Giménez*,24,CLE,AL,616,-4,4,1,22,5,29,3.0,21,50,5.0,.519,.518,2.7,2.8,28,*4/H,GG,gimenan01
24,Ozzie Albies#,26,ATL,NL,660,17,5,1,1,5,30,3.0,21,51,5.0,.520,.518,4.9,0.6,50,*4,ASMVP-16,albieoz01
25,José Ramírez#,30,CLE,AL,691,19,4,2,1,1,26,2.7,23,49,4.9,.517,.516,4.7,0.2,48,*5D,ASMVP-10,ramirjo01
26,Ketel Marte#,29,ARI,NL,650,22,0,0,2,5,29,2.8,22,50,4.9,.519,.518,4.7,0.6,48,*4/DH86,,marteke01
27,Alex Bregman,29,HOU,AL,724,21,-1,-4,5,4,26,2.7,23,49,4.9,.516,.516,4.3,1.0,44,*5/D,MVP-22,bregmal01
28,Bo Bichette,25,TOR,AL,601,18,-2,0,4,8,28,2.9,19,48,4.8,.521,.518,4.3,1.2,43,*6/DH,ASMVP-16,bichebo01
29,Cody Bellinger*,27,CHC,NL,556,27,0,2,2,-1,30,3.0,19,49,4.8,.523,.518,4.6,0.1,47,83/DH,MVP-10SS,bellico01
30,Aaron Judge,31,NYY,AL,458,38,1,-1,-3,-4,31,3.1,15,46,4.6,.529,.519,4.8,-0.7,49,9D8/H,ASMVP-15,judgeaa01
31,Luis Arraez*,26,MIA,NL,617,21,-1,-1,2,4,26,2.6,21,47,4.6,.517,.516,4.4,0.6,45,*43/HD,ASMVP-8SS,arraelu01
32,Yordan Alvarez*,26,HOU,AL,496,42,-4,0,-2,-7,29,3.0,16,46,4.5,.526,.518,4.7,-1.0,48,D7/H,ASMVP-13,alvaryo01
33,Adolis García,30,TEX,AL,632,20,3,0,6,-5,24,2.5,21,45,4.5,.516,.515,3.9,0.2,39,*9/8DH,ASMVP-14GG,garciad02
34,Bryson Stott*,25,PHI,NL,640,4,5,2,7,5,23,2.3,22,44,4.3,.515,.514,3.6,1.2,37,*4/HD,,stottbr01
35,Adley Rutschman#,25,BAL,AL,687,22,-1,-1,-3,4,21,2.2,22,44,4.3,.514,.513,4.6,0.2,47,*2D/H,ASMVP-9SS,rutscad01
36,Matt Chapman,30,TOR,AL,581,7,0,1,12,4,23,2.4,20,43,4.3,.517,.515,3.1,1.6,31,*5/DH,GG,chapmma01
37,Bobby Witt Jr.,23,KCR,AL,694,12,3,2,-5,8,21,2.1,23,43,4.3,.513,.513,4.8,0.4,48,*6D/H,MVP-7,wittbo02
38,Gabriel Moreno,23,ARI,NL,380,2,-1,-2,24,7,30,3.1,13,43,4.3,.528,.519,1.8,3.1,19,2H/D,GG,morenga01
39,Nolan Jones*,25,COL,NL,424,21,1,1,9,-3,29,2.9,14,44,4.3,.528,.518,3.4,0.5,35,793/8H5,ROY-4,jonesno01
40,Isaac Paredes,24,TBR,AL,571,23,-1,-1,-1,2,23,2.3,20,42,4.2,.516,.514,4.3,0.1,43,*534/HD6,MVP-18,paredis01
41,Xander Bogaerts,30,SDP,NL,665,13,3,0,-4,8,21,2.0,22,43,4.2,.513,.513,4.6,0.4,47,*6/DH,,bogaexa01
42,Will Smith,28,LAD,NL,554,11,0,1,6,7,25,2.4,18,43,4.1,.519,.515,3.6,1.3,37,*2D/H,AS,smithwi05
43,Sean Murphy,28,ATL,NL,438,16,0,-2,6,7,27,2.6,15,42,4.0,.524,.516,3.5,1.3,35,2/DH,AS,murphse01
44,Brandon Nimmo*,30,NYM,NL,682,25,-4,2,-7,4,20,1.9,22,42,4.0,.513,.512,4.7,-0.4,49,*87/DH,,nimmobr01
45,Ke'Bryan Hayes,26,PIT,NL,525,-1,-2,0,21,3,22,2.2,18,40,3.9,.518,.514,1.8,2.4,19,*5/DH,GG,hayeske01
46,Jeremy Peña,25,HOU,AL,634,-1,0,1,7,9,17,1.8,22,38,3.9,.511,.511,3.1,1.7,31,*6,,penaje02
47,Kevin Kiermaier*,33,TOR,AL,408,1,1,1,18,3,24,2.5,14,38,3.8,.519,.515,1.9,2.2,20,*8/HD,GG,kiermke01
48,Christian Walker,32,ARI,NL,661,15,2,-2,9,-8,16,1.6,23,39,3.7,.510,.510,2.9,0.1,30,*3/DH,MVP-23GG,walkech02
49,William Contreras,25,MIL,NL,611,19,0,-2,-4,5,18,1.8,20,38,3.7,.513,.511,4.1,0.1,42,2D/H,MVP-11SS,contrwi02
50,Josh Lowe*,25,TBR,AL,501,17,4,1,3,-5,20,2.0,17,37,3.7,.515,.512,3.3,-0.2,34,9DH8/7,,lowejo01
51,Bryce Harper*,30,PHI,NL,546,28,-1,0,1,-9,20,1.9,18,38,3.6,.515,.512,3.6,-0.9,37,D3/H,MVP-12SS,harpebr03
52,Daulton Varsho*,26,TOR,AL,581,-10,0,2,27,-3,16,1.7,20,36,3.6,.510,.510,0.8,2.6,9,*78/HD,,varshda01
53,TJ Friedl*,27,CIN,NL,556,12,2,2,0,3,18,1.8,19,37,3.6,.513,.511,3.6,0.2,37,*87H/9D,MVP-23,friedtj01
54,Matt McLain,23,CIN,NL,403,16,-1,1,4,4,24,2.4,13,37,3.6,.527,.515,3.2,0.8,33,64/DH,ROY-5,mclaima01
55,Michael Harris II*,22,ATL,NL,539,9,1,2,2,4,18,1.8,18,37,3.5,.513,.511,3.4,0.6,35,*8/H,,harrimi04
56,Ian Happ#,28,CHC,NL,691,16,0,1,2,-5,14,1.4,23,37,3.5,.509,.509,3.4,-0.4,35,*7/DH,GG,happia01
57,Christian Yelich*,31,MIL,NL,632,19,6,0,-3,-6,16,1.6,21,37,3.5,.511,.510,3.9,-0.9,40,*7D/H,,yelicch01
58,J.T. Realmuto,32,PHI,NL,540,6,-1,1,3,9,18,1.8,18,37,3.5,.513,.511,3.3,1.2,33,*2/H,,realmjt01
59,Trea Turner,30,PHI,NL,691,9,5,1,-10,9,14,1.4,22,37,3.5,.509,.509,4.6,-0.1,47,*6/D,,turnetr01
60,Rafael Devers*,26,BOS,AL,656,20,-2,0,-9,4,13,1.4,22,35,3.5,.509,.508,4.4,-0.5,44,*5/DH6,MVP-18SS,deverra01
61,CJ Abrams*,22,WSN,NL,614,-4,4,3,4,9,15,1.5,21,36,3.5,.510,.509,3.1,1.3,32,*6/H,,abramcj01
62,Marcell Ozuna,32,ATL,NL,592,29,-1,1,-1,-12,15,1.5,20,36,3.4,.511,.510,3.6,-1.4,37,*D/7H,MVP-19,ozunama01
63,James Outman*,26,LAD,NL,567,9,2,1,1,3,16,1.6,19,36,3.4,.511,.510,3.4,0.4,35,*87/H9D,ROY-3,outmaja01
64,Randy Arozarena,28,TBR,AL,654,18,-3,-1,4,-5,13,1.3,22,34,3.4,.509,.508,3.0,-0.1,30,*7D/H,AS,arozara01
