Rk,Player,Age,Team,Lg,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Pos,Awards,Player-additional
1,Aaron Judge,32,NYY,AL,704,96,2,-3,-8,0,86,8.7,23,109,10.9,.555,.554,11.7,-0.9,117,*8D/97,ASMVP-1SS,judgeaa01
2,Bobby Witt Jr.,24,KCR,AL,709,59,-1,3,2,10,72,7.4,23,95,9.6,.546,.545,9.4,1.2,93,*6/D,ASMVP-2GGSS,wittbo02
3,Jarren Duran*,27,BOS,AL,735,31,9,1,23,0,64,6.8,23,87,9.0,.542,.542,6.5,2.5,64,*87,ASMVP-8,duranja01
4,Shohei Ohtani*,29,LAD,NL,731,72,10,3,0,-16,69,6.9,23,91,9.0,.543,.542,9.1,-1.7,91,*D,ASMVP-1SS,ohtansh01
5,Gunnar Henderson*,23,BAL,AL,719,43,3,2,5,10,64,6.6,23,87,8.8,.541,.540,8.3,1.5,82,*6/D,ASMVP-4,hendegu01
6,Juan Soto*,25,NYY,AL,713,65,-4,1,0,-5,56,5.8,23,79,8.0,.537,.536,8.0,-0.5,79,*9/7DH,ASMVP-3SS,sotoju01
7,Matt Chapman,31,SFG,NL,647,21,6,0,17,4,48,5.0,22,70,7.1,.532,.531,5.3,2.2,53,*5/H,MVP-11GG,chapmma01
8,Francisco Lindor#,30,NYM,NL,689,31,5,1,1,9,47,4.8,22,69,6.8,.531,.529,6.7,1.0,68,*6/DH,MVP-2SS,lindofr01
9,Ketel Marte#,30,ARI,NL,583,36,0,0,10,2,48,4.9,20,67,6.8,.536,.530,5.7,1.3,57,*4D/H6,ASMVP-3SS,marteke01
10,José Ramírez#,31,CLE,AL,682,30,5,2,6,1,44,4.6,23,67,6.8,.529,.528,6.2,0.7,61,*5D,ASMVP-5SS,ramirjo01
11,Vladimir Guerrero Jr.,25,TOR,AL,697,48,-3,0,-1,-8,36,3.8,23,59,6.0,.524,.523,6.1,-1.0,60,*3D5/H,ASMVP-6SS,guerrvl02
12,Brent Rooker,29,OAK,AL,614,46,-1,2,-1,-12,34,3.5,21,55,5.6,.524,.522,5.7,-1.4,56,*D/79H,MVP-10SS,rookebr01
13,Riley Greene*,23,DET,AL,584,20,0,2,14,-5,32,3.4,20,51,5.3,.524,.521,3.8,1.0,37,7D8/9H,AS,greenri03
14,Yordan Alvarez*,27,HOU,AL,635,47,-1,-1,-5,-10,30,3.2,21,51,5.2,.521,.519,5.8,-1.6,56,D7,ASMVP-9,alvaryo01
15,Elly De La Cruz#,22,CIN,NL,696,18,4,0,-2,10,30,3.0,23,53,5.2,.519,.519,5.4,0.8,55,*6/H,ASMVP-8,delacel01
16,Corey Seager*,30,TEX,AL,533,26,-3,0,4,6,33,3.5,18,51,5.2,.528,.521,4.8,1.1,47,*6D/H,ASMVP-15,seageco01
17,Zach Neto,23,LAA,AL,602,7,2,0,11,9,29,3.1,21,50,5.1,.520,.519,3.9,2.1,39,*6/H,,netoza01
